Title,Product,Material,Materiall: uom,Quantity
recipe_Red Onion Jam,Red Onion Jam,Water,Ml,215
recipe_Roasted Chicken,Roasted Chicken,Olive Oil,Ml,200
recipe_Rye sourdough medium,Rye sourdough medium,Water,Ml,146
recipe_Rye Sourdough Small,Rye Sourdough Small,Water,Ml,97
recipe_Small baguette,Small baguette,Water,Ml,62
recipe_Sourdough Starter Hard,Sourdough Starter Hard,Water,Ml,300
recipe_Sourdough Starter Liquid,Sourdough Starter Liquid,Water,Ml,500
recipe_Strawberry Cheesecake Mix,Strawberry Cheesecake Mix,Whipping Cream,Ml,357
recipe_Strawberry Glazing,Strawberry Glazing,Water,Ml,465
recipe_Toast Bread,Toast Bread,Milk (Uht),Ml,223
recipe_Toast Bread,Toast Bread,Water,Ml,163
recipe_Vanilla Latte,Vanilla Latte,Fresh Milk,Ml,200
recipe_Vanilla Latte,Vanilla Latte,Syrup Vanilla,Ml,30
recipe_Vanilla Latte,Vanilla Latte,Syrup Vanilla,Ml,30
recipe_Vanilla Latte,Vanilla Latte,Fresh Milk,Ml,200
recipe_Vanilla Latte,Vanilla Latte,Syrup Vanilla,Ml,30
recipe_Vanilla Latte,Vanilla Latte,Oat Milk,Ml,200
recipe_Vanilla Latte,Vanilla Latte,Fresh Milk,Ml,200
recipe_Vanilla Latte,Vanilla Latte,Syrup Vanilla,Ml,30
recipe_Vanilla Latte,Vanilla Latte,Syrup Vanilla,Ml,30
recipe_Vanilla Latte,Vanilla Latte,Fresh Milk,Ml,200
recipe_Vanilla Latte,Vanilla Latte,Syrup Vanilla,Ml,30
recipe_Vanilla Latte,Vanilla Latte,Oat Milk,Ml,200
recipe_White sourdough medium,White sourdough medium,Water,Ml,151
recipe_White Sourdough Small,White Sourdough Small,Water,Ml,101
recipe_Zucchini Pickles,Zucchini Pickles,Vinegar,Ml,119
recipe_Capuccino,Capuccino,Fresh Milk,Ml,20
recipe_Capuccino,Capuccino,Fresh Milk,Ml,200
recipe_Capuccino,Capuccino,Oat Milk,Ml,200
recipe_Capuccino,Capuccino,Fresh Milk,Ml,20
recipe_Capuccino,Capuccino,Fresh Milk,Ml,200
recipe_Capuccino,Capuccino,Oat Milk,Ml,200
recipe_Almond Cream,Almond Cream,Egg,Pcs,5
recipe_American Bagel,American Bagel,Egg,Pcs,1
recipe_American Bagel,American Bagel,Bagels,Pcs,1
recipe_American Sandwich,American Sandwich,French Fries,Pcs,1
recipe_American Sandwich,American Sandwich,Small Baguette Poolish,Pcs,1
recipe_Bagels,Bagels,Egg,Pcs,334
recipe_Baguette Poolish 280gr,Baguette Poolish 280gr,Paper Bag Baguette,Pcs,1
recipe_Banh Mi Croissant,Banh Mi Croissant,Croissant stock,Pcs,1
recipe_Beef Cheese Croissant,Beef Cheese Croissant,Croissant stock,Pcs,1
recipe_Black Forest BIG 24cm,Black Forest BIG 24cm,Cake Box 25X25 Cm,Pcs,1
recipe_Black Forest BIG 24cm,Black Forest BIG 24cm,Cake Cardboard 24 Cm,Pcs,1
recipe_Black Forest Small 18cm,Black Forest Small 18cm,Cake Box 25X25 Cm,Pcs,1
recipe_Black Forest Small 18cm,Black Forest Small 18cm,Cake Cardboard 24 Cm,Pcs,1
recipe_Black Forest,Black Forest,Cake Cardboard Round,Pcs,1
recipe_Breakery Cloud,Breakery Cloud,Cup Breakery Cloud,Pcs,1
recipe_Burger,Burger,Burger Buns,Pcs,1
recipe_Burger,Burger,French Fries,Pcs,1
recipe_Burger Buns,Burger Buns,Egg,Pcs,1
recipe_Cheesy Brie,Cheesy Brie,Bagels,Pcs,1
recipe_Chicken Baguette Sandwich,Chicken Baguette Sandwich,Small Baguette Poolish,Pcs,1
recipe_Chicken Banh Mi,Chicken Banh Mi,Small Baguette Poolish,Pcs,1
recipe_Chicken Curry Panini,Chicken Curry Panini,Ciabatta,Pcs,1
